symbol,current_price,volume_ratio,rsi,timeframe_aligned,setup_quality
JTOUSDT,3.238,0.2319597359494209,64.56330047251404,True,A+
DEXEUSDT,15.924,0.2130029192866642,36.41672936848347,True,A+
AIXBTUSDT,0.4422,0.17371768703952256,33.53017725723146,True,A+
MKRUSDT,1091.0,0.16948639490118556,26.48775389476664,True,A+
LISTAUSDT,0.2438,0.16616756148461678,35.26345875030691,True,A+
RONINUSDT,1.453,0.13956692996033626,36.391344651646186,True,A+
IOUSDT,2.63,0.1344874775176789,35.65036834684021,True,A+
ARBUSDT,0.6002,0.1280034190411941,36.57255824956079,True,A+
RENDERUSDT,5.419,0.11450703771128934,33.3823452753921,True,A+
FETUSDT,0.982,0.11173524174050754,32.974245901448185,True,A+
RLCUSDT,1.568,0.08576701669149316,35.254141794944886,True,A+
CVXUSDT,2.889,0.0841409107229077,36.411340477117314,True,A+
ATMUSDT,1.645,0.0775233030932761,35.856577287521716,True,A+
OMNIUSDT,6.82,0.06145485881737954,36.299102055939734,True,A+
HFTUSDT,0.1447,1.2818075256050105,44.3845030389801,True,A
KAVAUSDT,0.4146,0.4446666709503185,40.56612072513169,True,A
VANAUSDT,8.869,0.39193413776540253,43.62458469407873,True,A
CHRUSDT,0.153,0.316322003942533,40.82777353222043,True,A
STORJUSDT,0.4083,0.2925887351975058,40.39797991410006,True,A
FXSUSDT,2.424,0.24909605375125946,39.47377635782805,True,A
EGLDUSDT,27.97,0.2343642740029096,42.919078730743806,True,A
MAGICUSDT,0.3293,0.1972231265774562,43.840594827209074,True,A
PERPUSDT,0.5989,0.19496522489378162,42.191813838278925,True,A
GLMUSDT,0.314,0.1921620472522495,40.03033144939876,True,A
BANDUSDT,1.126,0.19126036996435478,41.54575096282266,True,A
SCRUSDT,0.646,0.17931456265603177,44.681516824054114,True,A
ILVUSDT,28.74,0.17602261421882182,39.26116450080137,True,A
MASKUSDT,2.182,0.17557039288899304,45.16678481698296,True,A
WUSDT,0.2121,0.1733916141190346,46.7687418646541,True,A
CAKEUSDT,1.935,0.16759836801590217,44.01484174869783,True,A
COMPUSDT,68.19,0.1607996666371629,41.279931879577155,True,A
FLOWUSDT,0.615,0.15734530236577834,40.42176780703376,True,A
ZRXUSDT,0.3996,0.15588197143034171,42.54236346210468,True,A
ARKMUSDT,1.07,0.14690281460465626,41.06056020637308,True,A
NTRNUSDT,0.2637,0.14259753664912012,37.18809666610679,True,A
ACEUSDT,1.383,0.14182665587462226,40.318358939320056,True,A
WOOUSDT,0.1539,0.1398741339320046,40.51642404377261,True,A
STXUSDT,1.241,0.13530472716555783,40.27661161879816,True,A
NMRUSDT,12.0,0.1349639499676924,42.47638554330853,True,A
GLMRUSDT,0.16,0.1344972710773251,39.47874336825691,True,A
SANDUSDT,0.5086,0.13442770692214553,43.521522078504105,True,A
AUCTIONUSDT,11.86,0.13247634084322046,41.948975836028055,True,A
IDUSDT,0.3386,0.13040099822017848,37.6055409497228,True,A
MOVEUSDT,0.8079,0.1289487005492376,59.15065176176304,True,A
MEUSDT,1.808,0.1259477808289191,42.83896000784875,True,A
BAKEUSDT,0.1769,0.12543872617885088,39.39552192267539,True,A
SNXUSDT,1.499,0.12380317387928162,47.53535412958803,True,A
LPTUSDT,10.539,0.12310729041855116,38.20921092970749,True,A
AVAXUSDT,32.49,0.12187395370344474,38.08452499603423,True,A
ETHUSDT,3097.17,0.11916306017841294,41.012904895438815,True,A
MINAUSDT,0.4468,0.11909909141325115,40.44448650121041,True,A
ORDIUSDT,17.93,0.11867942980441602,42.86099691962498,True,A
MANTAUSDT,0.577,0.1168672321656989,41.30839489988693,True,A
SAGAUSDT,1.0816,0.11463673235516869,44.47821624132592,True,A
SEIUSDT,0.3036,0.11103881852884583,41.43423117955318,True,A
PNUTUSDT,0.2493,0.10831728558073767,37.666302598299026,True,A
CETUSUSDT,0.1921,0.1076018860147122,42.81752823170367,True,A
APTUSDT,7.38,0.10738046712788596,41.8950142918306,True,A
NFPUSDT,0.1782,0.10729106218739758,39.20886499113363,True,A
PYTHUSDT,0.2713,0.10710985319496118,38.58709904936263,True,A
ALICEUSDT,0.905,0.1062502055945999,41.634627728810784,True,A
DYMUSDT,0.889,0.10597428733736186,37.18255672177147,True,A
EOSUSDT,0.7303,0.10593534146734888,41.08901903301515,True,A
WBTCUSDT,103184.25,0.10454418403291078,52.92049619247801,True,A
DASHUSDT,31.9,0.10267873025668285,41.16252701559561,True,A
ACTUSDT,0.1844,0.10238925611970168,49.02325636783362,True,A
NEOUSDT,12.96,0.10224640351857152,42.20221039230496,True,A
YGGUSDT,0.3084,0.1020894650584583,41.5203931334617,True,A
XTZUSDT,1.055,0.10157863751666055,40.06534677537857,True,A
TIAUSDT,3.864,0.10076362632629425,37.36642964482868,True,A
TNSRUSDT,0.4059,0.09918847109511948,58.20420069655973,True,A
TRBUSDT,45.32,0.09789655018172677,40.22699374216827,True,A
BCHUSDT,413.3,0.09787133257326552,42.35329824666084,True,A
AEVOUSDT,0.2457,0.09750421348969847,40.65718169501103,True,A
KSMUSDT,24.33,0.09715846997388573,40.25809082124434,True,A
DUSDT,0.11565,0.09708295439409288,52.14862403324321,True,A
ETHFIUSDT,1.508,0.09659302309885012,42.08677075843068,True,A
LINKUSDT,23.48,0.09589835420638206,46.30536102337091,True,A
ENJUSDT,0.1439,0.09407690503361768,40.65331154564052,True,A
POLUSDT,0.3923,0.09401674267648666,37.092987555780965,True,A
BBUSDT,0.2586,0.0936182765304172,42.75007520173315,True,A
DOGEUSDT,0.32299,0.09052625201514189,41.527377380176546,True,A
SXPUSDT,0.2779,0.08985249277463381,41.806642066625784,True,A
CELOUSDT,0.5216,0.08982092051730586,40.97047411269714,True,A
FILUSDT,4.486,0.08935455460338512,40.46636256704433,True,A
ADXUSDT,0.1608,0.08869046038450591,39.75189056571012,True,A
EIGENUSDT,2.599,0.08650720668013545,49.78688091592232,True,A
EDUUSDT,0.4394,0.08620219811338138,40.045643601331506,True,A
BTCUSDT,103464.75,0.08534346646380604,53.19337412465938,True,A
CRVUSDT,0.6966,0.08502052042915263,41.06795797837355,True,A
ZENUSDT,17.89,0.08312124400832409,40.93155264480315,True,A
IMXUSDT,1.072,0.08205600111154485,38.89329181072677,True,A
SUSHIUSDT,1.19,0.08154238794394814,42.50569464642879,True,A
INJUSDT,18.19,0.08122097576714299,39.89417090864001,True,A
OPUSDT,1.422,0.08091871100522345,40.69124127882214,True,A
AIUSDT,0.4515,0.08072785846194135,39.43828300845677,True,A
CHESSUSDT,0.1451,0.08013070855502204,41.04415570962611,True,A
REQUSDT,0.1167,0.08006565760875149,49.31935453539603,True,A
CATIUSDT,0.2239,0.07901729504546542,42.60573747010507,True,A
PORTOUSDT,1.272,0.07884753847272445,41.51104027967394,True,A
FLUXUSDT,0.4637,0.07855219227032263,43.95484466553478,True,A
ICXUSDT,0.1507,0.07529219861152618,38.255690181491374,True,A
ICPUSDT,8.48,0.07481145049782965,40.433259804401224,True,A
XAIUSDT,0.1547,0.07366162083384035,39.35298220649478,True,A
KDAUSDT,0.7146,0.07349726328951009,41.32338117359854,True,A
ALGOUSDT,0.3662,0.07341922585916748,42.13059934376673,True,A
HIGHUSDT,1.123,0.07321560822103826,43.761526025437405,True,A
GMXUSDT,20.26,0.07278142086025287,41.52974011874718,True,A
DOTUSDT,5.733,0.07260294357867317,40.58718897775024,True,A
BNXUSDT,0.2462,0.07257419903954307,42.74224867967402,True,A
ZECUSDT,42.23,0.07213905223533007,41.72234534333004,True,A
ZROUSDT,3.465,0.0719766080431682,39.78054622295088,True,A
LUMIAUSDT,0.846,0.07154898763902881,46.936025600586696,True,A
DUSKUSDT,0.1539,0.07069591429156281,42.080059805035866,True,A
MANAUSDT,0.4255,0.07067619682993494,40.56441425652824,True,A
API3USDT,1.176,0.0697218870733153,42.454075276688215,True,A
TONUSDT,4.817,0.06935129918088519,38.58834520550106,True,A
C98USDT,0.1194,0.06876402527733515,42.342669184298785,True,A
ETCUSDT,25.39,0.06875990280991122,42.55873364159416,True,A
TRXUSDT,0.2392,0.06867225585589312,40.039517949933796,True,A
XLMUSDT,0.3905,0.06787437138431121,39.79164839523881,True,A
RPLUSDT,7.88,0.0674892301884562,38.443293546412534,True,A
LUNAUSDT,0.3093,0.06737598162875634,40.42745814898224,True,A
BLURUSDT,0.175,0.06698186029046138,40.05237369477913,True,A
YFIUSDT,7023.0,0.0660801915140724,42.83829478870556,True,A
QTUMUSDT,2.729,0.06489933042527367,41.55166022704247,True,A
PUNDIXUSDT,0.4117,0.06410765948828138,41.90854120134934,True,A
DYDXUSDT,1.0064,0.063970356819923,39.80244738973363,True,A
STRKUSDT,0.3358,0.06315721453438569,42.134735031724425,True,A
BADGERUSDT,3.895,0.061430654461872194,52.81885712403568,True,A
TAOUSDT,445.4,0.06134437504326258,51.50459955447886,True,A
THETAUSDT,1.887,0.059899702081347775,47.01610641515058,True,A
XVSUSDT,7.28,0.05911149380726769,42.97460493521945,True,A
SLFUSDT,0.2294,0.05682298194124091,42.78177056838894,True,A
BICOUSDT,0.2307,0.05583381553462655,44.74637058992895,True,A
LOKAUSDT,0.148,0.05559883279986631,42.48294595566435,True,A
CYBERUSDT,2.375,0.05540457527212045,38.25661570280883,True,A
BATUSDT,0.2113,0.055143167335428164,42.11546452381618,True,A
ADAUSDT,0.9384,0.05444445553625308,47.3432055892596,True,A
SUPERUSDT,0.9341,0.05277746304144674,48.06793416277649,True,A
ZKUSDT,0.1368,0.05250543489727039,41.90547777235917,True,A
HOOKUSDT,0.2639,0.05212252585475646,42.41101451470419,True,A
BNBUSDT,666.7,0.052013929030718505,44.4672561753472,True,A
MOVRUSDT,8.994,0.051545745209056054,42.21301366370943,True,A
PORTALUSDT,0.1921,0.050986264257673775,40.60539845721493,True,A
ARUSDT,12.78,0.050718541916480196,39.10896892907564,True,A
FTTUSDT,2.0491,0.05010967473245072,50.517635524811695,True,A
XRPUSDT,3.0543,0.04939906418030451,47.7877088252595,True,A
OGUSDT,4.171,0.049149852429365835,51.748405083606805,True,A
CTSIUSDT,0.1256,0.047553727657058814,41.26334279015956,True,A
LAZIOUSDT,1.255,0.044964752383646056,43.40826120879785,True,A
VOXELUSDT,0.1277,0.04377716874092041,41.75844259151776,True,A
UNIUSDT,11.662,0.04197833149557565,49.81698117526304,True,A
RAYUSDT,6.779,0.04067796066340636,45.85191897595882,True,A
OSMOUSDT,0.3792,0.03911417127746831,40.01261272941935,True,A
NEXOUSDT,1.424,0.03891063926012562,49.43509630665001,True,A
BELUSDT,0.7024,0.037100160300571325,66.17097769771037,False,A
CFXUSDT,0.1515,0.036800396955120905,50.7725883701864,True,A
PAXGUSDT,2764.0,0.034498075955256634,55.676654975518076,True,A
TKOUSDT,0.3495,0.033540679471160455,48.39047069405561,True,A
LITUSDT,0.577,0.028458060813968875,40.78171396438951,True,A
PHBUSDT,1.339,0.026335602663080746,52.70736292819841,True,A
ORCAUSDT,2.699,0.02314195795321704,41.0192318311126,True,A
WBETHUSDT,3282.55,0.022853891956716756,40.95371002621877,True,A
AVAUSDT,0.7997,0.022588358239730908,41.90727484378086,True,A
